year,crop,region,sort,area,production,kg/10a,areaLQ,productionLQ
1999,포도,대관령면,과실류,0,0,0,0,0
1999,포도,대화면,과실류,0,0,0,0,0
1999,포도,미탄면,과실류,0,0,0,0,0
1999,포도,방림면,과실류,0,0,0,0,0
1999,포도,봉평면,과실류,0,0,0,0,0
1999,포도,용평면,과실류,0,0,0,0,0
1999,포도,진부면,과실류,0,0,0,0,0
1999,포도,평창읍,과실류,1.4,1.6,114,5.474213331,17.36811448
1999,호박,대관령면,과채류,0,0,0,,
1999,호박,대화면,과채류,0,0,0,,
1999,호박,미탄면,과채류,0,0,0,,
1999,호박,방림면,과채류,0,0,0,,
1999,호박,봉평면,과채류,0,0,0,,
1999,호박,용평면,과채류,0,0,0,,
1999,호박,진부면,과채류,0,0,0,,
1999,호박,평창읍,과채류,0,0,0,,
2000,감자,대관령면,서류,414.8,10606.4,1557,1.098856664,0.721956696
2000,감자,대화면,서류,147.6,4090.5,2771.3,0.390707881,0.34111098
2000,감자,미탄면,서류,41,995.3,2427,0.165161376,0.143695187
2000,감자,방림면,서류,184,5191.9,2822,0.514367749,0.41424708
2000,감자,봉평면,서류,496.9,17967.9,3616,1.521801536,1.529927938
2000,감자,용평면,서류,519.2,18748.7,3611.1,1.708237918,1.64646522
2000,감자,진부면,서류,1081,39024.1,3610,1.799657915,1.613916982
2000,감자,평창읍,서류,67.7,2011.1,2971,0.188134686,0.388097815
2000,겉보리,대관령면,맥류,0,0,0,0,0
2000,겉보리,대화면,맥류,1.8,5.4,300,4.018981905,4.230179285
2000,겉보리,미탄면,맥류,0,0,0,0,0
2000,겉보리,방림면,맥류,0,0,0,0,0
2000,겉보리,봉평면,맥류,0,0,0,0,0
2000,겉보리,용평면,맥류,0.4,1.2,300,1.110072635,0.98993883
2000,겉보리,진부면,맥류,0,0,0,0,0
2000,겉보리,평창읍,맥류,1.3,3.9,300,3.047202306,7.069974558
2000,고구마,대관령면,서류,0,0,0,0,0
2000,고구마,대화면,서류,0,0,0,0,0
2000,고구마,미탄면,서류,1.2,17.5,1458.3,1.385525211,1.424043416
2000,고구마,방림면,서류,0,0,0,0,0
2000,고구마,봉평면,서류,0,0,0,0,0
2000,고구마,용평면,서류,0,0,0,0,0
2000,고구마,진부면,서류,0,0,0,0,0
2000,고구마,평창읍,서류,9.1,157.5,1734.6,7.24819966,17.1310922
2000,고추,대관령면,조미채류,1,2,200,0.012770647,0.009140845
2000,고추,대화면,조미채류,90,220,244.4,1.148468049,1.231842542
2000,고추,미탄면,조미채류,188.1,461,245.1,3.652784278,4.468917732
2000,고추,방림면,조미채류,90.9,223,245.3,1.224983911,1.19467896
2000,고추,봉평면,조미채류,28,39,139.3,0.413387792,0.222972589
2000,고추,용평면,조미채류,22.5,55,244.4,0.356867325,0.324307735
2000,고추,진부면,조미채류,35,85,242.9,0.280894286,0.236037191
2000,고추,평창읍,조미채류,156.9,384,244.7,2.101908188,4.975674612
2000,기타과실류,대관령면,과실류,0,0,0,0,0
2000,기타과실류,대화면,과실류,0,0,0,0,0
2000,기타과실류,미탄면,과실류,3.1,0.7,22.6,1.852588777,0.090456478
2000,기타과실류,방림면,과실류,0,0,0,0,0
2000,기타과실류,봉평면,과실류,0,0,0,0,0
2000,기타과실류,용평면,과실류,0,0,0,0,0
2000,기타과실류,진부면,과실류,0,0,0,0,0
2000,기타과실류,평창읍,과실류,16.8,109.5,651.8,6.925995191,18.91363779
2000,기타두류,대관령면,두류,0,0,0,0,0
2000,기타두류,대화면,두류,0,0,0,0,0
2000,기타두류,미탄면,두류,0,0,0,0,0
2000,기타두류,방림면,두류,0,0,0,0,0
2000,기타두류,봉평면,두류,0,0,0,0,0
2000,기타두류,용평면,두류,0,0,0,0,0
2000,기타두류,진부면,두류,3,0.3,100,4.914847452,4.079278037
2000,기타두류,평창읍,두류,0,0,0,0,0
2000,기타잡곡,대관령면,잡곡,0,0,0,,
2000,기타잡곡,대화면,잡곡,0,0,0,,
2000,기타잡곡,미탄면,잡곡,0,0,0,,
2000,기타잡곡,방림면,잡곡,0,0,0,,
2000,기타잡곡,봉평면,잡곡,0,0,0,,
2000,기타잡곡,용평면,잡곡,0,0,0,,
2000,기타잡곡,진부면,잡곡,0,0,0,,
2000,기타잡곡,평창읍,잡곡,0,0,0,,
2000,녹두,대관령면,두류,0,0,0,0,0
2000,녹두,대화면,두류,0,0,0,0,0
2000,녹두,미탄면,두류,1.1,1.1,90.9,9.344048002,11.18891256
2000,녹두,방림면,두류,0,0,0,0,0
2000,녹두,봉평면,두류,0,0,0,0,0
2000,녹두,용평면,두류,0,0,0,0,0
2000,녹두,진부면,두류,0,0,0,0,0
2000,녹두,평창읍,두류,0.3,0.3,100,1.75800133,4.078831476
2000,논벼,대관령면,미곡,0,0,0,0,0
2000,논벼,대화면,미곡,243,1130,465,1.843659175,1.940831892
2000,논벼,미탄면,미곡,35,163,466,0.40411152,0.484692163
2000,논벼,방림면,미곡,90,419,466,0.72111905,0.688552935
2000,논벼,봉평면,미곡,110,511,465,0.965584438,0.896158293
2000,논벼,용평면,미곡,54,251,465,0.50923235,0.453988966
2000,논벼,진부면,미곡,33,143,433,0.157465986,0.121807634
2000,논벼,평창읍,미곡,465,2172,467,3.703750376,8.632916232
2000,당근,대관령면,근채류,124,4464,3600,2.134651697,1.832532966
2000,당근,대화면,근채류,1.3,47,3615.5,0.02236208,0.023637504
2000,당근,미탄면,근채류,0,0,0,0,0
2000,당근,방림면,근채류,0,0,0,0,0
2000,당근,봉평면,근채류,3.8,137,3605.3,0.075626788,0.070352362
2000,당근,용평면,근채류,5.2,187,3596.2,0.111178307,0.099039279
2000,당근,진부면,근채류,320,11520,3600,3.461922044,2.873328217
2000,당근,평창읍,근채류,0,0,0,0,0
2000,딸기,대관령면,과채류,0,0,0,,
2000,딸기,대화면,과채류,0,0,0,,
2000,딸기,미탄면,과채류,0,0,0,,
2000,딸기,방림면,과채류,0,0,0,,
2000,딸기,봉평면,과채류,0,0,0,,
2000,딸기,용평면,과채류,0,0,0,,
2000,딸기,진부면,과채류,0,0,0,,
2000,딸기,평창읍,과채류,0,0,0,,
2000,마늘,대관령면,조미채류,0,0,700,0,0
2000,마늘,대화면,조미채류,3,21,700,3.349151588,3.525149404
2000,마늘,미탄면,조미채류,2.3,16.1,700,3.907510983,4.678999796
2000,마늘,방림면,조미채류,0.5,3.5,700,0.589486207,0.562134334
2000,마늘,봉평면,조미채류,0,0,700,0,0
2000,마늘,용평면,조미채류,0.1,0.7,700,0.138759079,0.123742354
2000,마늘,진부면,조미채류,0,0,700,0,0
